"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"AJ Hammons","TEX",24,15,385,0.59,53.09,3.13,8.69,-45.16,4.3,-1.4
"Aaron Harrison","DEL",22,38,1243,2.43,51.61,1.65,3.48,-50.37,2.5,-1.1
"Aaron Thomas","WCB",25,43,1130,-1.21,48.92,-1.05,5.68,-48.17,1.8,-5.7
"Abdel Nader","MNE",23,40,1340,1.19,52.13,2.16,4.44,-49.41,2.6,-1.2
"Adam Woodbury","FWN",23,24,301,-2.31,46,-3.97,3.44,-50.41,2.1,-4.9
"Akil Mitchell","LIN",25,4,115,-2.79,38.92,-11.05,12.62,-41.23,2.8,-8.7
"Alan Williams","NAS",24,1,28,-1.66,50,0.03,2.74,-51.11,1.8,3.5
"Alec Brown","WCB",24,50,1169,2.16,53.49,3.53,8.82,-45.03,5.4,2.9
"Alec Burks","SLC",25,1,21,-2.4,32.51,-17.45,4.37,-49.48,2.3,47.7
"Alex Caruso","OKL",23,50,1513,2,52.88,2.91,3.83,-50.02,4.3,9.3
"Alex Davis","NAS",25,51,1256,-1.92,47.9,-2.07,2.94,-50.91,4.2,-6.5
"Alex Hamilton","SCW",23,43,1004,0.9,46.97,-3,2.54,-51.31,2.5,4.7
"Alex Johnson","GRD",29,10,79,-2.1,44.55,-5.41,2.28,-51.57,1.2,15.5
"Alex Poythress","FWN",23,46,1430,0.31,54.98,5.01,4.48,-49.37,3.2,7.7
"Alexis Wangmene","AUS",28,2,4,-2.2,NA,NA,NA,NA,9.1,-36.4
"Alfonzo McKinnie","WCB",24,50,1525,0.76,54.21,4.25,4.58,-49.27,1.7,1.6
"Amir Williams","IWA",24,29,514,2.57,55.91,5.95,2.78,-51.07,5,-1.3
"Andre Dawkins","TEX",25,42,957,0.62,56.96,6.99,9.23,-44.62,1.4,3.8
"Andre Ingram","LAD",31,10,293,4.58,72.52,22.55,6.43,-47.42,2.3,4.1
