"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"AJ Hammons","SXF",25,25,505,2.64,54.29,4.45,7.29,-46.17,5.7,-6.8
"Aaron Best","RAP",26,47,1227,-2.19,53.85,4,5.1,-48.37,1.2,7
"Aaron Harrison","RNO",23,41,1105,4.58,54.38,4.54,3.78,-49.68,2.2,3
"Abdel Nader","MNE",24,4,148,-1.86,48.65,-1.19,3.8,-49.66,3.6,1
"Adam Woodbury","WES",24,45,728,0.26,49.57,-0.27,2.69,-50.78,2.2,-0.5
"Adreian Payne","LAK",27,17,457,1.52,48.04,-1.8,3.95,-49.51,3.3,-5.6
"Akeem Springs","SLC",24,28,490,-2.5,48.44,-1.41,7.93,-45.53,1.8,1
"Akil Mitchell","LIN",26,30,788,-0.31,58.9,9.06,4.71,-48.75,3.2,-0.5
"Alan Anderson","LAK",35,15,361,2.24,56.57,6.73,4.74,-48.73,2.4,7
"Alan Williams","NAS",25,3,70,-1.85,46.62,-3.22,6.77,-46.7,5.7,-9.4
"Alec Peters","NAS",23,35,1188,2.72,60.63,10.79,9.14,-44.32,1.1,2
"Alex Caruso","SBL",24,29,889,4.6,55.67,5.83,3.72,-49.74,3.6,9
"Alex Hamilton","WCB",24,45,1250,2.07,47.62,-2.22,4.04,-49.42,4.2,1.6
"Alex Marzette","WIS",25,4,27,-2.07,16.82,-33.02,1.1,-52.36,1.8,5.4
"Alex Poythress","FWN",24,7,238,1.11,50.66,0.82,3.75,-49.72,3,4.3
"Alfonzo McKinnie","RAP",25,35,1047,-0.98,51.23,1.39,6.39,-47.07,1.8,6
"Alonzo Gee","SXF",31,28,898,-0.38,52.14,2.3,3.22,-50.25,2.9,-3.1
"Alonzo Nelson-Ododa","SLC",25,7,158,-2.64,49.47,-0.37,2.09,-51.37,1.9,-11.4
"Amida Brimah","AUS",24,48,1085,1.93,60.22,10.37,3.2,-50.27,6.2,-2.2
"Amile Jefferson","IWA",25,47,1637,4.61,62.42,12.58,3.99,-49.48,2.2,-1.6
"Amjyot Singh","OKL",26,30,248,-2.24,39.51,-10.34,4.81,-48.65,3.1,7.3
"Andre Dawkins","ACC",26,24,571,-0.56,52.05,2.2,5.93,-47.54,1.3,6.9
"Andre Ingram","SBL",32,47,1073,1.23,63.08,13.23,8.33,-45.13,1.6,-0.3
"Andre Washington","RAP",25,26,134,-2.86,41.26,-8.58,2.81,-50.65,4.8,-11.2
"Andrew Andrews","DEL",25,4,58,-2.35,52.74,2.9,17.44,-36.02,0.8,-9.8
"Andrew White III","ERI",25,38,1195,0.35,55.59,5.74,6.58,-46.88,1.4,2.4
"Ante Zizic","CTN",21,18,458,4.44,57.14,7.3,3.72,-49.75,3.4,-3.5
"Anthony Bennett","MNE",25,35,940,2.97,58.7,8.85,6.53,-46.94,2.7,-0.8
"Anthony Brown","IWA",25,45,1695,-1.44,53.33,3.49,6.11,-47.35,1.3,-2.1
"Anthony Walker","TEX",24,27,225,-1.29,59.42,9.58,3.18,-50.28,3.8,-16.3
"Antonio Blakeney","WCB",21,32,1224,5.05,51.88,2.03,4.1,-49.36,2.1,1.3
"Antonio Campbell","LAK",23,20,318,5.74,56.8,6.96,6.61,-46.86,5.3,2.1
"Antonius Cleveland","TEX",24,7,185,1.01,59.12,9.28,4.52,-48.95,3.1,12.5
"Archie Goodwin","NAS",23,34,1092,2.11,55.87,6.02,2.97,-50.5,2.5,0.7
"Arthur Edwards","CTN",25,41,673,0.14,48.99,-0.86,4.12,-49.34,3.2,-5.6
"Asauhn Dixon-Tatum","SLC",27,32,461,-3.62,44.04,-5.81,2.48,-50.98,3.9,-6.1
"Askia Booker","DEL",24,36,1144,0.23,48.17,-1.68,4.84,-48.62,2.4,-1.6
"Austin Nichols","MHU",23,38,868,0.98,54.95,5.1,8.5,-44.96,4.4,-5.8
"Avry Holmes","SCW",24,43,843,-1.87,52.65,2.81,8.97,-44.49,1.2,-8.6
"Beau Beech","ERI",24,20,335,-2.98,47.87,-1.97,4.47,-48.99,2,-1.3
"Ben McLemore","MHU",25,1,16,-2.07,50.2,0.36,50,-3.46,6.3,15.6
"Ben Moore","FWN",23,43,1201,1.63,58.53,8.68,3.69,-49.77,2.3,0.5
"Billy Garrett","WES",23,50,1361,-0.72,49.13,-0.71,4.37,-49.09,2.3,0.9
"Brandon Ashley","TEX",23,45,1387,0.38,49.49,-0.35,4.1,-49.36,3.6,1.6
"Brandon Austin","RNO",24,15,247,-0.53,43.3,-6.54,4.01,-49.45,2.6,6.8
"Brandon Jennings","WIS",28,7,259,1.21,41.88,-7.96,3.41,-50.05,2.7,-6.4
"Brandon Paul","AUS",27,2,59,-1.68,59.82,9.97,19.71,-33.75,2.4,-0.8
"Brandon Wood","WCB",29,43,1000,-0.57,50.26,0.41,7.78,-45.68,2.1,-2.7
"Brannen Greene","SLC",23,5,102,-1.83,50,0.16,6.12,-47.34,2.8,-15
"Brent Arrington","GBO",25,3,28,-1.43,61.11,11.27,60.78,7.32,5.1,3.4
"Brian Williams","WIS",25,38,532,-3.51,39.13,-10.71,3.58,-49.88,2.3,-9.8
"Briante Weber","SXF",25,28,960,4.09,55.83,5.99,5.95,-47.52,3.6,5.7
"Brice Johnson","MHU",24,26,714,-0.79,50,0.16,5.67,-47.79,2.9,-1.8
"Bronson Koenig","GRD",23,47,995,-2.03,54.38,4.54,13,-40.47,1.3,2.7
"Bruce Massey","GRD",27,1,7,-2.13,0,-49.84,0,-53.46,0,-78.6
"Bruno Caboclo","RNO",22,36,1088,2.18,49.05,-0.79,7.04,-46.43,4.8,3.4
"Bryce Alford","OKL",23,50,1543,1.79,56.67,6.82,6.6,-46.86,1.5,3.3
"Bryson Fonville","TEX",24,30,448,-4.64,42.02,-7.83,13.71,-39.76,1.6,-7.2
"Buay Tuach","WES",23,23,177,-3.06,54.95,5.11,7.76,-45.7,1.9,-17.4
"Bubu Palo","SXF",26,13,266,-2.73,54.1,4.26,4.67,-48.79,1.5,-8.6
"Byron Mullens","LAK",29,11,332,7.43,57.42,7.57,6.3,-47.16,4.2,8.3
"C.J. Wilcox","SCW",27,12,231,0.7,57.92,8.08,11.74,-41.72,2,-5.2
"C.J. Williams","ACC",28,16,471,3.04,52.13,2.29,5.64,-47.82,3.2,-3.3
"CJ Fair","WCB",26,47,1195,-0.12,46.77,-3.07,3.69,-49.77,2.9,3.3
"Caleb Swanigan","CTN",21,14,424,2.34,52.86,3.01,3.83,-49.63,3,-5.3
"Caleb White","LAK",24,2,7,-2.27,0,-49.84,0,-53.46,0,-50
"Cameron Oliver","DEL",21,39,940,0.8,53.78,3.94,6.28,-47.18,3,-6.1
"Cameron Payne","WCB",23,3,71,-0.64,48.31,-1.54,5.07,-48.4,3.7,-4.4
"Carlos Lopez","DEL",28,1,4,-2.05,0,-49.84,0,-53.46,0,0
"Cat Barber","GBO",23,29,840,-0.12,46.74,-3.1,3.76,-49.7,1.7,-5.5
"Cedi Osman","CTN",23,1,39,-1.71,34.64,-15.2,2.5,-50.97,7,-5.8
"Chance Comanche","MHU",22,45,823,1.3,58.71,8.87,3.74,-49.72,2.5,-2.5
"Chane Behanan","SLC",25,9,194,-2.58,51.59,1.74,3.73,-49.74,2.9,-13.3
"Charles Cooke","SLC",23,25,633,-1.2,50.26,0.42,3.76,-49.7,3,-6.8
