"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,2,53,-0.78,46.9,-2.24,7.35,-45.8,3.4,26.7
"A.J. Davis","SXF",26,47,1093,-1.48,52.55,3.41,4.25,-48.91,2.3,-0.9
"Aaron Johnson","BAK",25,18,318,-2.26,52.29,3.16,3.02,-50.14,2.7,-5.1
"Abdul Gaddy","MNE",22,46,1251,-1.62,56.45,7.32,5.12,-48.03,1.7,-2
"Adonis Thomas","SPG",21,34,1195,-2.36,51.26,2.12,7,-46.16,1.4,-3.9
"Akeem Ellis","RGV",23,32,634,-2.17,51.91,2.77,5.76,-47.39,1,-6.3
"Akeem Scott","BAK",30,5,85,-1.01,67.58,18.44,3.76,-49.4,3.8,-16.5
"Alejo Rodriguez","SPG",26,7,123,-1.67,31.51,-17.63,1.34,-51.82,3.8,-1.9
"Alex Oriakhi","SXF",24,43,802,-1.59,49.65,0.52,3.65,-49.5,3.1,-4.7
"Alfred Aboya","RNO",29,16,217,-4.86,34.67,-14.47,1.99,-51.17,3.2,4.9
"Allen Crabbe","IDA",22,6,231,-1.73,47.51,-1.62,10.7,-42.46,2.4,-8.3
"Andrae Nelson","ERI",22,2,8,-2.62,0,-49.13,0,-53.16,0,-100
"Andre Ingram","LAD",28,45,1033,1.75,56.87,7.74,5.69,-47.47,2.3,6.4
"Andre Jones","ERI",24,7,125,-2.03,38.14,-10.99,2.42,-50.73,1.9,-8.5
"Andre Roberson","TUL",22,17,539,4.3,53.79,4.65,4.62,-48.53,5.6,7.4
"Anthony Harris","CTN",29,14,195,-5.31,46.08,-3.06,3.84,-49.32,1.7,-14.3
"Anthony Mason","SXF",27,37,1020,0.35,49.71,0.58,4.88,-48.28,3.7,1
"Antoine Agudio","CTN",29,47,1226,-1.54,51.65,2.52,4.1,-49.05,1.8,2.2
"Antoine Hood","IDA",30,17,192,-2.63,42.91,-6.22,4.92,-48.24,2.6,-3.5
"Aquille Carr","DEL",20,10,140,-1.96,45.06,-4.08,2.82,-50.34,3.6,-9.9
"Archie Goodwin","BAK",19,5,177,-1.26,55.22,6.08,3.39,-49.76,1.8,-5.9
"Arinze Onuaku","CTN",26,32,792,4.72,62.43,13.3,2.91,-50.25,3.2,4.8
"Arnett Moultrie","DEL",23,8,226,-4.05,45.59,-3.55,3.87,-49.29,1.9,-9.1
"Aron Baynes","AUS",27,2,66,-1.21,50.18,1.05,5.2,-47.96,4.3,34.1
"Augustus Gilchrist","IWA",24,46,792,0.4,56.47,7.34,2.67,-50.49,4,4.8
"Austin Daye","AUS",26,1,40,-1.54,44.3,-4.83,2.29,-50.87,2.3,-10.2
"Austin Freeman","IWA",25,41,779,1.44,55.53,6.39,5.85,-47.31,1.8,8.1
"B.J. Young","DEL",114,1,7,-2.19,50,0.87,50,-3.16,0,-53.3
"BJ Young","DEL",21,28,264,-1.05,52.87,3.74,4.37,-48.79,1.8,-11.8
"Ben Strong","AUS",27,29,447,-2.86,51.32,2.18,5.61,-47.55,1.9,-7.7
"Ben Uzoh","CTN",26,35,965,-1.85,43.02,-6.12,4.56,-48.59,2.4,-6.4
"Bennie Lewis","FWN",27,11,202,-1.28,52.26,3.13,8.47,-44.69,2.2,-0.7
"Bernard James","TEX",29,1,37,-0.2,90,40.87,6.69,-46.47,6.6,26.4
"Billy Baptist","BAK",26,42,798,-2.54,46.93,-2.2,5.39,-47.77,2.5,-1.9
