"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,1,3,-2.02,49.84,2.59,8.2,-43.13,4,-25.5
NA,NA,NA,1,229,-1.06,41.69,-5.56,2.93,-48.4,5.8,-31.4
NA,NA,NA,6,70,-3.12,33.33,-13.92,1.56,-49.77,2.1,-13.7
NA,NA,NA,39,90,-2.09,44.62,-2.63,2.8,-48.53,2.1,-3.4
NA,NA,NA,42,1007,0.17,46.18,-1.07,2.1,-49.23,3.6,2.9
NA,NA,NA,8,139,-1.25,57.45,10.2,3.94,-47.39,2.1,-6
NA,NA,NA,16,14,-1.93,43.72,-3.53,4.97,-46.36,5.7,-5.4
NA,NA,NA,7,18,-2.09,50.26,3,4.29,-47.04,1,-12.4
NA,NA,NA,1,23,-2.48,NA,NA,NA,NA,0,-80
NA,NA,NA,1,728,-0.08,42.81,-4.44,1.99,-49.35,0,-29.2
"Adam Koch","BAK",24,46,1281,-2.31,42.35,-4.9,2.6,-48.73,2.5,-3
"Adrian Oliver","RNO",24,5,84,-2.29,46.1,-1.15,4.96,-46.38,1.1,3.8
"Adrian Thomas","BAK",25,50,1028,-1.73,57.93,10.68,23.42,-27.91,1,2.1
"Al Nolen","LAD",23,2,34,-2.11,42.86,-4.39,3.16,-48.17,1.7,-8.5
"Alan Anderson","CTN",29,8,265,1.05,60.44,13.19,3.74,-47.59,1.5,14
"Alando Tucker","TEX",28,23,692,-0.32,48.94,1.69,3.51,-47.82,1.4,1.7
"Alejo Rodriguez","SPG",24,7,51,-1.78,50,2.75,0.96,-50.38,4,-10.9
"Andre Emmett","RNO",29,35,1285,3.11,56.45,9.2,4.13,-47.2,2.5,1.5
"Andre Ingram","LAD",26,6,168,-0.3,63,15.75,6.9,-44.43,0.9,19.5
"Andrew Drevo","IWA",31,50,1370,-0.03,52.69,5.44,5.91,-45.42,2.8,-1
"Andrew Gonzalez","DAK",23,1,3,-2.12,0,-47.25,0,-51.33,0,-60
"Andrew Goudelock","LAD",23,1,47,-2.32,49.8,2.55,50,-1.33,2,27.6
"Anthony Coleman","LAD",29,6,34,-3.03,59.72,12.47,60.42,9.08,4.3,-27.5
"Anthony Goods","FWN",25,18,578,-4.99,47.79,0.54,4.21,-47.12,1.3,-5.2
"Anthony Gurley","BAK",24,1,6,-2.12,0,-47.25,1.12,-50.21,8.3,33.3
"Anthony Harris","BAK",27,6,137,-1.85,47.36,0.11,3.32,-48.01,2.1,4.9
"Anthony Johnson","LAD",26,3,5,-2.09,33.33,-13.92,33.33,-18,0,-92.3
"Anthony Kent","MNE",29,50,1048,-0.34,60.44,13.19,2.8,-48.53,4.2,-4.9
"Anthony Mason","SXF",25,45,1621,-1.34,52.31,5.06,5.73,-45.61,2.5,-2.6
"Anthony Moody","SXF",22,6,78,-2.43,40.45,-6.8,8.12,-43.22,3.7,-1.9
"Anthony Newell","CTN",26,1,27,-2.59,16.95,-30.3,16.53,-34.81,3.9,-23.5
"Anthony Simpson","IWA",25,8,156,-0.85,49.04,1.79,5.19,-46.15,3.5,17.9
"Anthony Vereen","TEX",26,50,1063,-1.9,51.52,4.27,3.44,-47.89,1.4,-1.6
"Antoine Agudio","CTN",27,43,1279,-0.01,60.63,13.38,4.56,-46.78,1.1,-0.6
"Antoine Walker","IDA",35,44,1099,-6.12,40.09,-7.16,4.49,-46.84,1.7,-6.9
"Antoine Wright","RNO",28,9,299,3.32,54.46,7.21,5.33,-46,2.7,2.7
"Antonio Anderson","MNE",27,5,98,-4.96,45.87,-1.38,6.02,-45.32,1,-8.5
"Antonio Daniels","TEX",37,24,809,2.54,42.42,-4.83,2.26,-49.07,2.4,4.4
"Antonio Graves","CTN",27,27,639,-5.51,45.78,-1.47,4.67,-46.66,1.1,0
"Antonio Smith","FWN",36,10,216,-4.59,45.71,-1.54,4.2,-47.13,1,1.2
"Armon Johnson","IDA",23,6,159,-1.82,39.24,-8.01,4.25,-47.09,2.8,-2.4
"Ashton Mitchell","RGV",23,11,227,-6.64,40.57,-6.68,2.26,-49.07,1.6,0.2
"B.J. Jenkins","ERI",24,23,567,-0.76,46.5,-0.75,4.07,-47.26,2.5,-9.7
"Ben McCauley","FWN",25,14,258,-5.12,38.17,-9.08,9.54,-41.79,2,6.9
"Ben Strong","IWA",25,48,1087,0.07,55.04,7.79,3.94,-47.39,4.3,-1.3
"Ben Uzoh","RGV",24,20,616,1.46,49.43,2.18,3.26,-48.08,2.3,8.8
"Benjamin Colon","TUL",27,11,181,-3.04,43.21,-4.04,2.48,-48.85,3.5,-2.9
"Billy McShepard","SXF",24,16,376,-0.42,46.39,-0.86,4.34,-46.99,3.2,-4.7
"Billy Rush","TUL",24,14,323,-2.93,43.18,-4.07,4.2,-47.14,2.3,-8
"Billy White","IWA",23,3,26,-2.14,41.9,-5.35,3.19,-48.14,1.8,-22.8
"Blake Ahearn","RNO",28,37,1388,2.83,56.47,9.22,4.03,-47.3,1.5,0.9
"Bobby Simmons","RNO",32,21,680,0.83,55.59,8.34,4.68,-46.65,1.9,7.3
"Booker Woodfox","TEX",25,46,1211,-0.52,51.34,4.09,5.28,-46.06,1.5,-4.8
"Brad Wanamaker","AUS",22,15,291,-3.82,46.15,-1.1,4.04,-47.29,1.9,18.2
"Brady Morningstar","TUL",26,48,1330,-2.68,48.04,0.79,5.61,-45.73,1.9,-0.8
"Brandon Costner","LAD",24,32,1038,1.59,53.69,6.44,3.25,-48.08,1.6,10.2
"Brandon Ewing","IWA",25,37,910,-2.16,43.51,-3.74,3.63,-47.7,1.4,-5.5
"Brandon Wallace","BAK",27,6,119,-2.8,35,-12.25,3.98,-47.36,3,-12.8
"Brian Barkdoll","TUL",22,29,213,-4.67,46.05,-1.2,5.19,-46.14,1.6,-19.7
"Brian Butch","BAK",27,17,466,5.08,51.46,4.21,3.4,-47.94,2.3,2.7
