"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"A.J. Davis","STO",25,1,14,-2.35,0,-52.41,27.3,-28.29,2.9,-2.9
"A.J. Hess","WIS",26,31,507,-3.1,48.54,-3.86,49.92,-5.67,1.5,0
"Aaron Epps","NAS",24,37,843,1.73,58.68,6.28,60.04,4.45,2.1,-11.1
"Abdul Gaddy","OKL",28,38,1266,-0.69,54.62,2.21,57.43,1.84,0.9,4
"Adam Mokoka","WCB",21,31,998,-2.09,45.48,-6.92,47.76,-7.82,2.2,0.9
"Adam Woodbury","GRD",26,41,837,0.88,51.21,-1.19,56.94,1.35,1.8,4.4
"Admiral Schofield","CCG",23,33,1019,-1.19,53.7,1.3,57.25,1.66,1.3,0.1
"Ahmad Caver","MHU",23,39,951,3.17,49.01,-3.4,53.85,-1.73,3.1,2.4
"Ahmed Hill","NAS",25,40,1042,-1.75,52,-0.41,53.47,-2.11,1.6,-9.6
"Alan Herndon","CTN",25,26,316,1.07,61.81,9.41,62.87,7.28,2.8,2.7
"Alen Smailagic","SCW",19,19,492,3.27,57.5,5.09,59.92,4.33,3.4,-4.6
"Alex Robinson","IWA",25,27,409,-4.43,42.16,-10.24,46.69,-8.89,2,-2
"Alex Stein","CTN",23,15,93,-2.43,40.94,-11.47,45.67,-9.91,1.4,-10.8
"Alize Johnson","FWN",24,19,698,3.12,55.5,3.09,56.78,1.2,2.1,3.6
"Amile Jefferson","LAK",27,7,242,8.65,65.16,12.75,64.89,9.31,3.3,15.9
"Amir Coffey","ACC",23,15,436,3,57.11,4.7,60.22,4.63,2,3.1
"Amir Hinton","WES",23,36,566,-1.26,42.66,-9.74,46.55,-9.04,3.5,-6.3
"Andre Ingram","SBL",34,28,668,0.49,65.5,13.09,67.89,12.31,1.4,-2.7
"Andrew Harrison","SCW",25,39,1055,3.66,52.55,0.15,57.76,2.18,3,-2.8
"Andrew Rowsey","LAK",26,25,718,2.56,58.33,5.93,62.61,7.02,1.2,-3.7
"Andrew White III","WES",27,41,1250,-1.46,53.9,1.49,56.2,0.62,1.3,-3.7
"Angel Delgado","SXF",25,2,43,-1.17,68.35,15.94,58.33,2.74,3.4,0
"Angel Nunez","LIN",28,6,39,-2.02,35.62,-16.78,35.62,-19.96,5.7,-17.2
"Angel Rodriguez","AUS",27,35,1009,2.34,51.49,-0.92,55.71,0.12,3.9,-3.7
"Anthony Lawrence II","NAS",23,38,884,-0.81,53.87,1.47,57.5,1.91,2.4,-8.4
"Anthony Roberson","OKL",25,21,354,0.04,54.43,2.03,57.84,2.26,4.3,-6.4
"Antonius Cleveland","TEX",26,36,1112,2.16,53.24,0.83,55.11,-0.48,3.5,6.3
"Anzejs Pasecniks","CCG",24,15,312,-1.29,56.52,4.12,58.77,3.18,3.1,0.3
"Aric Holman","TEX",22,40,686,2.38,56.57,4.17,56.94,1.35,3.4,-5.8
"Armoni Brooks","CPS",22,43,900,1.73,57.65,5.25,58.86,3.27,2,-0.5
"Asauhn Dixon-Tatum","CCG",29,1,15,-1.97,42.92,-9.48,51.99,-3.6,6.5,-25.8
"Ash Yacoubou","LIN",28,20,417,-1.64,49.33,-3.08,50.57,-5.02,1.4,-7.2
"Aubrey Dawkins","ERI",25,37,848,-0.77,56.17,3.76,57.92,2.33,1.7,-7.7
"BJ Johnson","LAK",24,28,1004,2.66,52.18,-0.22,57.32,1.73,3.3,0.3
"Barry Brown","IWA",23,43,1092,2.36,55.14,2.73,58.38,2.79,2.5,0.1
"Bazoumana Kone","OKL",26,3,42,-2.29,54.55,2.14,56.52,0.94,1.1,-5.5
"Ben Moore","FWN",25,30,954,1.74,58.28,5.87,62.4,6.81,2.7,-0.8
"Bol Bol","WCB",20,8,154,0.27,60.66,8.26,63.77,8.19,5.6,-12.2
"Brandon Fields","TEX",31,38,806,-0.79,45.1,-7.3,48.04,-7.55,1.7,-10.2
"Brandon Goodwin","CPS",24,17,586,4.32,52.48,0.07,55.2,-0.38,2.3,7
"Brandon McCoy","WIS",22,26,414,-2.62,47.67,-4.73,49.86,-5.72,2.3,-2.3
